smiles,redox
OC1=CC(=O)C(Cl)=CC1=O,1.4044124
OC1=C(O)C(=O)C(O)=C(Cl)C1=O,1.1027762
OC1=C(Cl)C(=O)C(Cl)=C(Cl)C1=O,0.9836193
OC1=CC(=O)C(Br)=C(Br)C1=O,0.76734036
BrC1=CC(=O)C=C(O)C1=O,1.0820419
BrC1=CC(=O)C(O)=CC1=O,1.1023215
OC1=C(Br)C(=O)C(O)=C(O)C1=O,0.910206
ClC1=C(Cl)C(=O)C(Cl)=C(O)C1=O,0.9836193
BrC1=CC(=O)C(Br)=C(O)C1=O,0.81523705
CC1=NC2=C(C=C1)C(=O)C(Cl)=C(Cl)C2=O,0.949051
CC1=C(Br)C(=O)C2=C(C=CC=C2)C1=O,0.82649875
COC1=CC(=O)C2=C(C(CO)=C(C)N2C)C1=O,0.8823344
CCC1=C(OC)C=C2C(=O)C(OC)=CC(=O)C2=C1O,0.7796516
ClCC1=C(CCl)C(=O)C2=CC=CC=C2C1=O,0.8413791
OC1=CC=C(O)C2=C1C(=O)C=C(Br)C2=O,0.7473531
COC1=C(Cl)C(=O)C(Cl)=C(OC)C1=O,0.9624655
NC1=C2C(=O)C(Cl)=C(Cl)C(=O)C2=CC=C1,0.84372646
BrC1=CC(=O)C2=CC=CC=C2C1=O,0.89881223
CCCCNC1=CC(=O)C(NCCCC)=CC1=O,0.84599847
CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC\C(C)=C\CC1=C(C)C(=O)C2=CC=CC=C2C1=O,0.45372972
OC1=C([C@H]2CC[C@@H](CC2)C2=CC=C(Cl)C=C2)C(=O)C2=C(C=CC=C2)C1=O,0.5233576
COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O,0.65039605
C\C(C)=C/CC1=C(O)C(=O)C2=CC=CC=C2C1=O,0.8132775
CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,0.76070327
CCCCCCCCCCC1=C(C)C(=O)C(OC)=C(OC)C1=O,0.69016784
C\C(C)=C/CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC1=C(C)C(=O)C2=C(C=CC=C2)C1=O,0.47761238
C\C(C)=C/C[C@@H](O)C1=CC(=O)C2=C(C(O)=CC=C2O)C1=O,0.7784705
CC(=O)O[C@H](C\C=C(/C)C)C1=CC(=O)C2=C(C(O)=CC=C2O)C1=O,0.72168046
