Index	redox	ABC	ABCGG	SpDiam_A	VE2_A	VR2_A	ATS0Z	ATS1Z	ATS2Z	ATS3Z	ATS4Z	ATS0m	ATS1m	ATS2m	ATS3m	ATS4m	ATS8m	ATS8are	AATS4p	ATSC8s	ATSC8Z	ATSC8are	VE2_DzZ	SM1_Dzm	VE2_Dzm	VE2_Dzv	VE3_Dzv	VR2_Dzv	VE2_Dzse	VE3_Dzse	VR1_Dzse	VR2_Dzse	VE2_Dzpe	VE3_Dzpe	VR1_Dzpe	VR2_Dzpe	VE2_Dzare	VE3_Dzare	VR1_Dzare	VR2_Dzare	VE2_Dzp	VR2_Dzp	VE2_Dzi	VE3_Dzi	VR1_Dzi	VR2_Dzi	Xpc-6d	Xpc-4dv	Xpc-5dv	Xpc-6dv	Xp-0d	Xp-2d	Xp-3d	Xp-5d	AXp-6d	Xp-0dv	Xp-1dv	Xp-2dv	Xp-3dv	Xp-4dv	Xp-5dv	AXp-6dv	SZ	VE2_D	VE3_D	VR1_D	VR2_D	ECIndex	AETA_beta_ns_d	ETA_eta	AETA_eta	AETA_eta_L	AETA_eta_R	MIC5	ZMIC0	ZMIC5	VMcGowan	VSA_EState9	AMID_X	MPC2	MPC3	MPC5	MPC10	piPC1	piPC2	piPC3	piPC5	SLogP	GGI1	GGI3	MWC02	MWC04	MWC05	MWC06	MWC07	MWC08	MWC09	SRW09	TSRW10	AMW	WPath	WPol
18	1.0590171	10.590439988471882	10.338696135296116	4.893019947441804	0.2438633477950403	3.724323451199431	614.0	628.0	970.0	1209.0	1173.0	2419.9500940000007	2352.8072379999985	3688.817653999998	4394.753519000001	4224.756001	18.289152	87.12	1.0155413154891475	18.786179698216728	146.39506172839504	1.4906888888888858	0.2632628887453567	0.8902969157782687	0.2632628071981769	0.2627566256831374	1.6390025133752388	4.25214408080083	0.2632607012641591	1.6409190880183102	58.597553648758534	4.185539546339896	0.2632789861638139	1.6409885410912646	58.57208378271369	4.1837202701938345	0.2632931113089066	1.641042190516154	58.528493396502384	4.180606671178741	0.2621734588459037	4.304938044729736	0.2633735849212126	1.6413477864974766	58.60294707716618	4.185924791226157	9.070778573796336	1.4779803104186078	2.025145426620635	2.1352153552724653	11.093858127134675	6.80031236842167	4.649986681072657	1.980694286110705	0.049050382422982	8.418410714806937	4.2478804919982815	4.266661081651927	1.9970644842173864	1.3707011349370803	0.6123099471177882	0.0130766125097454	17.333333333333336	0.2636432559735507	1.6423711734367494	58.74034495864286	4.195738925617347	126	0.0	12.744705978805252	0.9103361413432324	0.2665094512048416	1.6066660662621293	31.124263518362145	48.129486388312465	24.859037974341213	151.28999999999988	0.0	0.0	22	26	29	0	2.9444389791664403	3.5263605246161616	4.007333185232471	4.59511985013459	0.8390000000000001	5.0	2.3125	4.290459441148391	6.056784013228625	6.914730892718563	7.840312983320164	8.704004653483045	9.627668172626858	10.493854219701632	0.0	46.23406130995099	7.225538639851853	269	23
19	1.0743173000000001	10.590439988471882	10.338696135296116	4.893019947441804	0.2438633477950403	3.724323451199431	588.0	626.0	961.0	1186.0	1160.0	2310.278342	2325.1016419999983	3620.280285999997	4257.640243	4079.219957	27.433728	130.68000000000004	1.055440370578314	17.855752080856128	180.58858501783592	1.4714486325802605	0.2631067553650607	0.6410313366795749	0.2631070091677525	0.2631164794100669	1.640371108877131	4.2336270227358925	0.263107233549225	1.6403359684582743	58.761527901383744	4.197251992955982	0.2631037929679401	1.6403228916464567	58.74653642190222	4.1961811729930165	0.2630934312356386	1.6402835081916374	58.723369453509605	4.194526389536402	0.2629751518032275	4.261080743679816	0.2631286291364472	1.6404172840384206	58.74678624636646	4.196199017597603	9.070778573796336	1.6312738594306464	2.3190805452373198	2.4782835954651525	11.093858127134675	6.80031236842167	4.649986681072657	1.980694286110705	0.049050382422982	8.971197119306979	4.524273694248302	4.5594003191275005	2.2161197133235837	1.5666435296021897	0.6786194777237445	0.0178515775127344	17.33333333333334	0.2636432559735507	1.6423711734367494	58.74034495864286	4.195738925617347	126	0.0	13.596615238046972	0.9711868027176408	0.279474826701044	1.6066660662621293	29.176136392436966	47.82080848392076	24.418595043648466	159.50999999999985	0.0	0.0	22	26	29	0	2.9444389791664403	3.5263605246161616	4.007333185232471	4.59511985013459	1.3434000000000004	5.0	2.3125	4.290459441148391	6.056784013228625	6.914730892718563	7.840312983320164	8.704004653483045	9.627668172626858	10.493854219701632	0.0	46.23406130995099	6.658975128275862	269	23
20	1.0455159	10.590439988471882	10.338696135296116	4.893019947441804	0.2438633477950403	3.724323451199431	826.0	672.0	1068.0	1367.0	1305.0	3368.752665	2554.4154029999986	4110.153791999997	5067.034750000002	4793.844952	0.0	0.0	1.1792499427768264	0.0	0.0	0.0	0.2636543603175959	1.1597159254752436	0.2636621851586297	0.2632903966171459	1.6410318799320969	4.217002994319119	0.2633130825729705	1.6411180394685796	58.68139397457307	4.1915281410409335	0.26329310523584304	1.641042167450364	58.68994069930593	4.192138621378995	0.2632050163381434	1.6407075455593751	58.736928258914496	4.19549487563675	0.2633084955566473	4.231077648029829	0.2632583305798764	1.6409100828954588	58.76894190168298	4.197781564405926	9.070778573796336	1.814121115336944	2.9093733372782675	3.1513989501561355	11.093858127134675	6.80031236842167	4.649986681072657	1.980694286110705	0.049050382422982	9.527740269145037	4.8025452691673305	4.842850240048784	2.4674778375082123	1.9031985693667048	0.7271528585848052	0.0207418212253898	18.666666666666668	0.2636432559735507	1.6423711734367494	58.74034495864286	4.195738925617347	126	0.0	14.263039105833382	1.018788507559527	0.2868767561567685	1.6066660662621293	34.095889422458036	48.877486464658965	26.592148623210512	161.76999999999984	0.0	0.124937818918946	22	26	29	0	2.9444389791664403	3.5263605246161616	4.007333185232471	4.59511985013459	2.623500000000001	5.0	2.3125	4.290459441148391	6.056784013228625	6.914730892718563	7.840312983320164	8.704004653483045	9.627668172626858	10.493854219701632	0.0	46.23406130995099	7.854089160592593	269	23
21	1.0517121999999999	10.590439988471882	10.338696135296116	4.893019947441804	0.2438633477950403	3.724323451199431	826.0	672.0	1068.0	1422.0	1488.0	3368.752665	2554.4154029999986	4110.153791999998	5324.934067	5605.149366999999	27.433728	130.68000000000004	1.186019149993456	16.223094732058687	267.5925925925925	1.5792925925925914	0.2629252197084824	1.1597159254752436	0.2629140765108903	0.2632155912083553	1.6407477220648603	4.21812344332248	0.2631056271984908	1.6403298631314984	58.72517271791564	4.194655194136831	0.2631030057466113	1.6403198995858042	58.72987204921896	4.194990860658497	0.2630925498396624	1.6402801580606652	58.760084298842145	4.197148878488726	0.2631038083376398	4.2343647770244335	0.2631319732278935	1.6404299929185124	58.7951577932459	4.1996541280889925	9.070778573796336	1.8272115942628504	3.0244659474403464	3.281379562490045	11.093858127134675	6.80031236842167	4.649986681072657	1.980694286110705	0.049050382422982	9.527740269145033	4.8025452691673305	4.837671894046529	2.481625341885545	1.9536461625512245	0.7187845198955749	0.0197117197078636	18.666666666666668	0.2636432559735507	1.6423711734367494	58.74034495864286	4.195738925617347	126	0.0	14.245531513423092	1.0175379652445071	0.2869552275313033	1.6066660662621293	34.095889422458036	48.877486464658965	26.592148623210512	161.76999999999984	0.0	0.1254460462742022	22	26	29	0	2.9444389791664403	3.5263605246161616	4.007333185232471	4.59511985013459	2.623500000000001	5.0	2.3125	4.290459441148391	6.056784013228625	6.914730892718563	7.840312983320164	8.704004653483045	9.627668172626858	10.493854219701632	0.0	46.23406130995099	7.854089160592593	269	23
22	0.8070616	10.590439988471882	10.338696135296116	4.893019947441804	0.2438633477950403	3.724323451199431	2012.0	828.0	1395.0	2085.0	2648.0	9606.089568	3333.5569619999987	5701.709981999998	8527.000797999992	11391.378433000005	0.0	0.0	1.4090811973467094	0.0	0.0	0.0	0.2633952461540713	2.0093980440174946	0.2633804954010773	0.2632906094199551	1.641032688175489	4.2089740932937705	0.2633356194492175	1.6412036254623332	58.598363940829536	4.1855974243449685	0.2633147677085372	1.6411244391892397	58.611638748799656	4.186545624914261	0.2632203484972105	1.640765795636577	58.68733081512474	4.191952201080339	0.2632138533492049	4.216935983976383	0.2632672569275325	1.6409439895008306	58.74251418988305	4.195893870705932	9.070778573796336	2.1534952271862786	4.155104603807176	4.566879345054768	11.093858127134675	6.80031236842167	4.649986681072657	1.980694286110705	0.049050382422982	10.491701281268968	5.284525775229296	5.324830746110751	2.92734707587304	2.589640296762692	0.7967207523145622	0.0241428105386954	23.0	0.2636432559735507	1.6423711734367494	58.74034495864286	4.195738925617347	126	0.0	15.940459096488436	1.1386042211777454	0.3070969810025016	1.6066660662621293	49.444370994211795	51.55253892267636	32.731203125901445	165.17999999999984	0.0	0.2503838651931482	22	26	29	0	2.9444389791664403	3.5263605246161616	4.007333185232471	4.59511985013459	2.9560000000000013	5.0	2.3125	4.290459441148391	6.056784013228625	6.914730892718563	7.840312983320164	8.704004653483045	9.627668172626858	10.493854219701632	0.0	46.23406130995099	11.49813622250001	269	23
23	0.84511334	10.590439988471882	10.338696135296116	4.893019947441804	0.2438633477950403	3.724323451199431	1788.0	782.0	1293.0	1773.0	1747.0	8606.371133	3116.057992999999	5246.565147999997	7050.013180000001	7042.102609999999	0.0	0.0	1.1264411990811365	0.0	0.0	0.0	0.2637854367815984	1.597478855838332	0.2637927038354679	0.2632659521156982	1.6409390332632685	4.226189536041038	0.2632679289098679	1.6409465419697005	58.592416809773205	4.185172629269515	0.26325445714696305	1.640895369357616	58.58956146060428	4.184968675757449	0.2631850540750824	1.6406316996641253	58.60455239869145	4.1860394570493895	0.2628038833210561	4.265007073835367	0.2631850665277803	1.6406317469794929	58.73794717558639	4.195567655399028	9.070778573796336	1.830587336609495	2.448345300390524	2.6446513078630534	11.093858127134675	6.80031236842167	4.649986681072657	1.980694286110705	0.049050382422982	9.805021457741242	4.941185863465433	5.013593810232678	2.512051214843201	1.716655035670163	0.7990431292629758	0.0273151186255792	21.66666666666667	0.2636432559735507	1.6423711734367494	58.74034495864286	4.195738925617347	126	0.0	14.864886069299002	1.0617775763785002	0.2977570546998393	1.6066660662621293	44.69399926051485	52.769901691760744	30.515434920424585	158.80999999999992	0.0	0.124937818918946	22	26	29	0	2.9444389791664403	3.5263605246161616	4.007333185232471	4.59511985013459	2.2752	5.0	2.3125	4.290459441148391	6.056784013228625	6.914730892718563	7.840312983320164	8.704004653483045	9.627668172626858	10.493854219701632	0.0	46.23406130995099	10.31956625248	269	23
24	1.0446805000000001	10.590439988471882	10.338696135296116	4.893019947441804	0.2438633477950403	3.724323451199431	614.0	628.0	970.0	1204.0	1160.0	2419.9500940000007	2352.807237999999	3688.8176539999977	4372.835543000001	4164.069289	9.144576	43.56	1.042231579750271	9.393089849108364	73.19753086419752	0.7453444444444428	0.2633749607633563	0.8902969157782687	0.2633744399649302	0.2626998364325583	1.6387863613059634	4.2528490681565945	0.2633737553882879	1.6413484337416573	58.57267782330468	4.18376270166462	0.2633819382212081	1.641379502538901	58.54926898481226	4.182090641772303	0.263400648415753	1.6414505382755686	58.50438391120725	4.178884565086232	0.2618749276852739	4.308074054107551	0.2633193515113063	1.64114184711099	58.61493654552157	4.186781181822968	9.070778573796336	1.4907035002272868	2.1370087994549487	2.2615490067403106	11.093858127134675	6.80031236842167	4.649986681072657	1.980694286110705	0.049050382422982	8.418410714806937	4.2478804919982815	4.261628028281258	2.0108150417432604	1.4197332831961784	0.6041764050121838	0.0120754133019948	17.333333333333336	0.2636432559735507	1.6423711734367494	58.74034495864286	4.195738925617347	126	0.0	12.7640158023438	0.9117154144531286	0.2665094512048416	1.6066660662621293	31.124263518362145	48.129486388312465	24.859037974341213	151.28999999999988	0.0	0.0	22	26	29	0	2.9444389791664403	3.5263605246161616	4.007333185232471	4.59511985013459	0.8390000000000002	5.0	2.3125	4.290459441148391	6.056784013228625	6.914730892718563	7.840312983320164	8.704004653483045	9.627668172626858	10.493854219701632	0.0	46.23406130995099	7.225538639851853	269	23
25	1.0798135	10.590439988471882	10.338696135296116	4.893019947441804	0.2438633477950403	3.724323451199431	588.0	626.0	961.0	1181.0	1147.0	2310.278342	2325.101641999999	3620.280285999999	4235.678255000002	4018.389112999999	18.289152	87.12000000000002	1.0950429706361902	11.903834720570753	120.39239001189064	0.9809657550535066	0.2632452223323666	0.6410313366795749	0.2632451067256171	0.2628614150730779	1.6394012416653791	4.237113426506869	0.2632430625033715	1.6408520846576202	58.73336166617053	4.1952401190121815	0.2632610056453089	1.6409202442143258	58.71377708733612	4.193841220524009	0.2632762829797901	1.64097827366377	58.685067903653746	4.191790564546697	0.2626077608443341	4.2660546545571885	0.2633509631663207	1.641261890539189	58.69955515110018	4.192825367935728	9.070778573796336	1.6725954377008203	2.682383395045119	2.8885821091070905	11.093858127134675	6.80031236842167	4.649986681072657	1.980694286110705	0.049050382422982	8.971197119306979	4.524273694248302	4.543054283901949	2.2607779120621045	1.7258870669941213	0.6522038695480962	0.0145999454889098	17.33333333333334	0.2636432559735507	1.6423711734367494	58.74034495864286	4.195738925617347	126	0.0	13.68865608899074	0.9777611492136244	0.2793963553265092	1.6066660662621293	29.176136392436966	47.82080848392076	24.418595043648466	159.50999999999985	0.0	0.0	22	26	29	0	2.9444389791664403	3.5263605246161616	4.007333185232471	4.59511985013459	1.3434	5.0	2.3125	4.290459441148391	6.056784013228625	6.914730892718563	7.840312983320164	8.704004653483045	9.627668172626858	10.493854219701632	0.0	46.23406130995099	6.658975128275862	269	23
26	0.9465556	11.326056340359848	11.196470488556011	4.961329978200268	0.2340655611468059	3.8490462029707375	864.0	720.0	1149.0	1588.0	1681.0	3515.048914	2722.893699999998	4413.837313999997	5970.084690999999	6236.118269999999	27.433728	130.68000000000004	1.2242562527626122	13.991200560128036	243.0	1.399467000000003	0.2539881864336917	1.1597159254752436	0.2539795265205774	0.254287241389743	1.7442245299063035	4.382629793254013	0.2541214104004795	1.7435721767468502	65.42392205152608	4.361594803435072	0.2541169352980962	1.7435545664959853	65.4294979756656	4.361966531711039	0.2541005660831297	1.743490148348528	65.46295968616677	4.364197312411118	0.2542524076620389	4.3972292295920585	0.25415074668422305	1.7436876120834788	65.49343549589221	4.366229033059481	11.447434263107601	2.2564181213843693	3.4006231579351747	4.337965843783635	11.964101615137755	7.187392608830353	5.450284320361959	2.394111709310279	0.0417980326673469	10.450389999955409	5.225194999977704	5.225194999977704	3.000216871378796	2.086779915437957	1.0485159401709807	0.0172581397864885	20.000000000000007	0.2547797479789326	1.7461594687380748	65.3424905190831	4.35616603460554	139	0.0	16.79836186396684	1.1198907909311226	0.2946850301274298	1.6963214717141435	33.89841506967688	52.51945043891661	26.892417259243132	175.8599999999997	0.0	0.1170802305290766	24	30	36	0	2.9957322735539917	3.610917912644224	4.127134385045092	4.718498871295094	3.013600000000001	5.0	2.5	4.3694478524670215	6.163314804034643	7.044905117129371	7.974188669286011	8.862625169408922	9.788805952452512	10.680677123670844	0.0	47.757348298444136	7.53586858	318	27
27	0.7609199999999999	11.326056340359848	11.196470488556011	4.961329978200268	0.2340655611468059	3.8490462029707375	2050.0	876.0	1476.0	2306.0	2859.0	9752.385816999997	3502.035258999998	6005.393503999998	9430.050738999997	12059.953800000005	0.0	0.0	1.4077565685052216	0.0	0.0	0.0	0.2542344542659422	2.0093980440174946	0.2542186953769672	0.2543444619759006	1.744449528017984	4.373895104823491	0.254272489808144	1.744166516734209	65.30435986878773	4.353623991252515	0.2542564972008189	1.7441036192092352	65.31772686802515	4.35451512453501	0.2541858191338978	1.743825601172161	65.39367925770682	4.359578617180455	0.2543190656880067	4.380791380065178	0.2542372137465772	1.7440277738100258	65.44617277973697	4.363078185315799	11.447434263107601	2.612528910612165	4.52897664375345	5.843296521282909	11.964101615137755	7.187392608830353	5.450284320361959	2.394111709310279	0.0417980326673469	11.414351012079338	5.707175506039669	5.707175506039669	3.476822787122083	2.7043709497545416	1.2208902912549875	0.020647604379624	24.333333333333336	0.2547797479789326	1.7461594687380748	65.3424905190831	4.35616603460554	139	0.0	18.604168793447467	1.2402779195631644	0.3135572399834474	1.6963214717141435	47.990022917668725	54.68076747516388	32.579784737045976	179.26999999999978	0.0	0.2334288652648291	24	30	36	0	2.9957322735539917	3.610917912644224	4.127134385045092	4.718498871295094	3.3461000000000025	5.0	2.5	4.3694478524670215	6.163314804034643	7.044905117129371	7.974188669286011	8.862625169408922	9.788805952452512	10.680677123670844	0.0	47.757348298444136	10.739663681629644	318	27
